"","GO","evidence","gene"
"1160","GO:0006355","ISS","LOC105830132"
"1161","GO:0000290","ISS","LOC105830142"
"1162","GO:0007165","ISS","LOC105830144"
"1163","GO:0007165","ISS","LOC105830144"
"1164","GO:0007275","ISS","LOC105830159"
"1165","GO:0016055","ISS","LOC105830159"
"1166","GO:0006730","ISS","LOC105830168"
"1167","GO:0007608","ISS","LOC105830178"
"1168","GO:0006470","ISS","LOC105830181"
"1169","GO:0006139","ISS","LOC105830198"
"1170","GO:0070588","ISS","LOC105830211"
"1171","GO:0042254","ISS","LOC105830212"
"1172","GO:0006468","ISS","LOC105830213"
"1173","GO:0006508","ISS","LOC105830231"
"1174","GO:0006094","ISS","LOC105830237"
"1175","GO:0007608","ISS","LOC105830249"
"1176","GO:0007608","ISS","LOC105830243"
"1177","GO:0007608","ISS","LOC105830247"
"1178","GO:0007608","ISS","LOC105830246"
"1179","GO:0007608","ISS","LOC105830244"
"1180","GO:0015031","ISS","LOC105830263"
"1181","GO:0006281","ISS","LOC105830267"
"1182","GO:0006310","ISS","LOC105830267"
"1183","GO:0006546","ISS","LOC105830264"
"1184","GO:0055114","ISS","LOC105830264"
"1185","GO:0006468","ISS","LOC105830272"
"1186","GO:0006468","ISS","LOC105830272"
"1187","GO:0008152","ISS","LOC105830289"
"1188","GO:0055114","ISS","LOC105830289"
"1189","GO:0055114","ISS","LOC105830289"
"1190","GO:0006810","ISS","LOC105830293"
"1191","GO:0006412","ISS","LOC105830285"
"1192","GO:0006412","ISS","LOC105830285"
"1193","GO:0006355","ISS","LOC105830283"
"1194","GO:0007018","ISS","LOC105830297"
"1195","GO:0006355","ISS","LOC105830304"
"1196","GO:0055085","ISS","LOC105830316"
"1197","GO:0055085","ISS","LOC105830316"
"1198","GO:0007156","ISS","LOC105830331"
"1199","GO:0007156","ISS","LOC105830331"
"1200","GO:0007156","ISS","LOC105830331"
"1201","GO:0007156","ISS","LOC105830331"
"1202","GO:0007156","ISS","LOC105830331"
"1203","GO:0007156","ISS","LOC105830331"
"1204","GO:0006468","ISS","LOC105830340"
"1205","GO:0006468","ISS","LOC105830341"
"1206","GO:0001522","ISS","LOC105830354"
"1207","GO:0009451","ISS","LOC105830354"
"1208","GO:0006629","ISS","LOC105830346"
"1209","GO:0006412","ISS","LOC105830345"
"1210","GO:0006468","ISS","LOC105830348"
"1211","GO:0008152","ISS","LOC105830358"
"1212","GO:0006397","ISS","LOC105830368"
"1213","GO:0007156","ISS","LOC105830369"
"1214","GO:0007156","ISS","LOC105830369"
"1215","GO:0007156","ISS","LOC105830369"
"1216","GO:0007156","ISS","LOC105830369"
"1217","GO:0007156","ISS","LOC105830369"
"1218","GO:0007156","ISS","LOC105830369"
"1219","GO:0007156","ISS","LOC105830369"
"1220","GO:0007156","ISS","LOC105830369"
"1221","GO:0007156","ISS","LOC105830369"
"1222","GO:0007156","ISS","LOC105830369"
"1223","GO:0007156","ISS","LOC105830369"
"1224","GO:0007156","ISS","LOC105830369"
"1225","GO:0007156","ISS","LOC105830369"
"1226","GO:0006511","ISS","LOC105830378"
"1227","GO:0016567","ISS","LOC105830378"
"1228","GO:0016567","ISS","LOC105830378"
"1229","GO:0006511","ISS","LOC105830407"
"1230","GO:0006468","ISS","LOC105830405"
"1231","GO:0006470","ISS","LOC105830419"
"1232","GO:0008152","ISS","LOC105830417"
"1233","GO:0009190","ISS","LOC105830427"
"1234","GO:0035556","ISS","LOC105830427"
"1235","GO:0006182","ISS","LOC105830427"
"1236","GO:0006024","ISS","LOC105830437"
"1237","GO:0032259","ISS","LOC105830441"
"1238","GO:0008152","ISS","LOC105830446"
"1239","GO:0006468","ISS","LOC105830458"
"1240","GO:0007186","ISS","LOC105830461"
"1241","GO:0006355","ISS","LOC105830474"
"1242","GO:0006355","ISS","LOC105830477"
"1243","GO:0007186","ISS","LOC105830482"
"1244","GO:0000398","ISS","LOC105830485"
"1245","GO:0000398","ISS","LOC105830485"
"1246","GO:0007608","ISS","LOC105830487"
"1247","GO:0055085","ISS","LOC105830488"
"1248","GO:0055085","ISS","LOC105830488"
"1249","GO:0007186","ISS","LOC105830493"
"1250","GO:0007186","ISS","LOC105830493"
"1251","GO:0055114","ISS","LOC105830505"
"1252","GO:0006812","ISS","LOC105830520"
"1253","GO:0055085","ISS","LOC105830520"
"1254","GO:0006355","ISS","LOC105830524"
"1255","GO:0008152","ISS","LOC105830532"
"1256","GO:0007155","ISS","LOC105830540"
"1257","GO:0007186","ISS","LOC105830541"
"1258","GO:0006457","ISS","LOC105830557"
"1259","GO:0006468","ISS","LOC105830562"
"1260","GO:0006364","ISS","LOC105830566"
"1261","GO:0006420","ISS","LOC105830569"
"1262","GO:0006420","ISS","LOC105830569"
"1263","GO:0006811","ISS","LOC105830567"
"1264","GO:0055085","ISS","LOC105830567"
"1265","GO:0006811","ISS","LOC105830567"
"1266","GO:0055085","ISS","LOC105830567"
"1267","GO:0008152","ISS","LOC105830577"
"1268","GO:0006777","ISS","LOC105830582"
"1269","GO:0006470","ISS","LOC105830583"
"1270","GO:0006886","ISS","LOC105830599"
"1271","GO:0016192","ISS","LOC105830599"
"1272","GO:0006886","ISS","LOC105830599"
"1273","GO:0016192","ISS","LOC105830599"
"1274","GO:0006486","ISS","LOC105830600"
"1275","GO:0055114","ISS","LOC105830616"
"1276","GO:0007608","ISS","LOC105830620"
"1277","GO:0007608","ISS","LOC105830625"
"1278","GO:0006508","ISS","LOC105830622"
"1279","GO:0006071","ISS","LOC105830621"
"1280","GO:0006071","ISS","LOC105830621"
"1281","GO:0005975","ISS","LOC105830623"
"1282","GO:0006355","ISS","LOC105830638"
"1283","GO:0007186","ISS","LOC105830662"
"1284","GO:0007264","ISS","LOC105830678"
"1285","GO:0007165","ISS","LOC105830700"
"1286","GO:0006508","ISS","LOC105830704"
"1287","GO:0006508","ISS","LOC105830703"
"1288","GO:0006508","ISS","LOC105830703"
"1289","GO:0006659","ISS","LOC105830706"
"1290","GO:0055114","ISS","LOC105830717"
"1291","GO:0045454","ISS","LOC105830717"
"1292","GO:0006468","ISS","LOC105830727"
"1293","GO:0006508","ISS","LOC105830742"
"1294","GO:0055085","ISS","LOC105830743"
"1295","GO:0055085","ISS","LOC105830743"
"1296","GO:0007186","ISS","LOC105830738"
"1297","GO:0007186","ISS","LOC105830738"
"1298","GO:0006139","ISS","LOC105830739"
"1299","GO:0006021","ISS","LOC105830748"
"1300","GO:0008654","ISS","LOC105830748"
"1301","GO:0000103","ISS","LOC105830747"
"1302","GO:0009190","ISS","LOC105830745"
"1303","GO:0035556","ISS","LOC105830745"
"1304","GO:0009190","ISS","LOC105830745"
"1305","GO:0035556","ISS","LOC105830745"
"1306","GO:0006468","ISS","LOC105830751"
"1307","GO:0006468","ISS","LOC105830753"
"1308","GO:0009058","ISS","LOC105830765"
"1309","GO:0006260","ISS","LOC105830766"
"1310","GO:0007186","ISS","LOC105830776"
"1311","GO:0019236","ISS","LOC105830776"
"1312","GO:0007608","ISS","LOC105830769"
"1313","GO:0055085","ISS","LOC105830790"
"1314","GO:0046488","ISS","LOC105830792"
"1315","GO:0046488","ISS","LOC105830792"
"1316","GO:0055085","ISS","LOC105830811"
"1317","GO:0006355","ISS","LOC105830800"
"1318","GO:0055114","ISS","LOC105830814"
"1319","GO:0055114","ISS","LOC105830814"
"1320","GO:0055114","ISS","LOC105830812"
"1321","GO:0055114","ISS","LOC105830812"
"1322","GO:0006468","ISS","LOC105830815"
"1323","GO:0033014","ISS","LOC105830819"
"1324","GO:0007186","ISS","LOC105830824"
"1325","GO:0043039","ISS","LOC105830834"
"1326","GO:0006432","ISS","LOC105830834"
"1327","GO:0008033","ISS","LOC105830834"
"1328","GO:0006811","ISS","LOC105830831"
"1329","GO:0055085","ISS","LOC105830831"
"1330","GO:0006508","ISS","LOC105830833"
"1331","GO:0007165","ISS","LOC105830850"
"1332","GO:0006298","ISS","LOC105830849"
"1333","GO:0006298","ISS","LOC105830849"
"1334","GO:0007018","ISS","LOC105830858"
"1335","GO:0055085","ISS","LOC105830884"
"1336","GO:0007608","ISS","LOC105830894"
"1337","GO:0007608","ISS","LOC105830908"
"1338","GO:0007608","ISS","LOC105830895"
"1339","GO:0007608","ISS","LOC105830906"
"1340","GO:0007608","ISS","LOC105830911"
"1341","GO:0007608","ISS","LOC105830896"
"1342","GO:0007608","ISS","LOC105830897"
"1343","GO:0007608","ISS","LOC105830897"
"1344","GO:0007608","ISS","LOC105830900"
"1345","GO:0006355","ISS","LOC105830902"
"1346","GO:0055114","ISS","LOC105830903"
"1347","GO:0006468","ISS","LOC105830905"
"1348","GO:0006508","ISS","LOC105830930"
"1349","GO:0006508","ISS","LOC105830930"
"1350","GO:0006629","ISS","LOC105830935"
"1351","GO:0007165","ISS","LOC105830935"
"1352","GO:0035556","ISS","LOC105830935"
"1353","GO:0006836","ISS","LOC105830929"
"1354","GO:0006413","ISS","LOC105830940"
"1355","GO:0040007","ISS","LOC105830959"
"1356","GO:0007155","ISS","LOC105830956"
"1357","GO:0007186","ISS","LOC105830948"
"1358","GO:0008152","ISS","LOC105830946"
"1359","GO:0055085","ISS","LOC105830953"
"1360","GO:0006457","ISS","LOC105830958"
"1361","GO:0007166","ISS","LOC105830964"
"1362","GO:0006468","ISS","LOC105830961"
"1363","GO:0051260","ISS","LOC105830968"
"1364","GO:0006508","ISS","LOC105830975"
"1365","GO:0006508","ISS","LOC105830975"
"1366","GO:0008152","ISS","LOC105830977"
"1367","GO:0001522","ISS","LOC105830984"
"1368","GO:0009451","ISS","LOC105830984"
"1369","GO:0001522","ISS","LOC105830984"
"1370","GO:0009451","ISS","LOC105830984"
"1371","GO:0006508","ISS","LOC105830982"
"1372","GO:0007034","ISS","LOC105830983"
"1373","GO:0006281","ISS","LOC105830986"
"1374","GO:0007186","ISS","LOC105830987"
"1375","GO:0006468","ISS","LOC105830979"
"1376","GO:0055085","ISS","LOC105830989"
"1377","GO:0055085","ISS","LOC105830989"
"1378","GO:0007166","ISS","LOC105830990"
"1379","GO:0006355","ISS","LOC105831004"
"1380","GO:0006355","ISS","LOC105831004"
"1381","GO:0031144","ISS","LOC105831013"
"1382","GO:0071630","ISS","LOC105831013"
"1383","GO:0042254","ISS","LOC105831018"
"1384","GO:0005975","ISS","LOC105831019"
"1385","GO:0005975","ISS","LOC105831019"
"1386","GO:0006351","ISS","LOC105831024"
"1387","GO:0006351","ISS","LOC105831024"
"1388","GO:0006182","ISS","LOC105831031"
"1389","GO:0009190","ISS","LOC105831031"
"1390","GO:0035556","ISS","LOC105831031"
"1391","GO:0006182","ISS","LOC105831032"
"1392","GO:0009190","ISS","LOC105831032"
"1393","GO:0035556","ISS","LOC105831032"
"1394","GO:0035556","ISS","LOC105831033"
"1395","GO:0045454","ISS","LOC105831030"
"1396","GO:0006741","ISS","LOC105831039"
"1397","GO:0008152","ISS","LOC105831039"
"1398","GO:0006468","ISS","LOC105831040"
"1399","GO:0006508","ISS","LOC105831051"
"1400","GO:0006281","ISS","LOC105831061"
"1401","GO:0006310","ISS","LOC105831061"
"1402","GO:0006281","ISS","LOC105831061"
"1403","GO:0006310","ISS","LOC105831061"
"1404","GO:0006281","ISS","LOC105831061"
"1405","GO:0006310","ISS","LOC105831061"
"1406","GO:0006629","ISS","LOC105831063"
"1407","GO:0055114","ISS","LOC105831064"
"1408","GO:0006811","ISS","LOC105831066"
"1409","GO:0055085","ISS","LOC105831066"
"1410","GO:0016255","ISS","LOC105831067"
"1411","GO:0006397","ISS","LOC105831073"
"1412","GO:0015684","ISS","LOC105831074"
"1413","GO:0007186","ISS","LOC105831079"
"1414","GO:0002098","ISS","LOC105831083"
"1415","GO:0034227","ISS","LOC105831083"
"1416","GO:0015986","ISS","LOC105831084"
"1417","GO:0006355","ISS","LOC105831087"
"1418","GO:0006355","ISS","LOC105831087"
"1419","GO:0043401","ISS","LOC105831087"
"1420","GO:0006260","ISS","LOC105831091"
"1421","GO:0055085","ISS","LOC105831093"
"1422","GO:0055085","ISS","LOC105831093"
"1423","GO:0007264","ISS","LOC105831101"
"1424","GO:0007165","ISS","LOC105831101"
"1425","GO:0006355","ISS","LOC105831116"
"1426","GO:0055114","ISS","LOC105831117"
"1427","GO:0009190","ISS","LOC105831122"
"1428","GO:0035556","ISS","LOC105831122"
"1429","GO:0006468","ISS","LOC105831122"
"1430","GO:0006468","ISS","LOC105831122"
"1431","GO:0006508","ISS","LOC105831123"
"1432","GO:0006355","ISS","LOC105831145"
"1433","GO:0006810","ISS","LOC105831134"
"1434","GO:0006811","ISS","LOC105831134"
"1435","GO:0001522","ISS","LOC105831141"
"1436","GO:0009451","ISS","LOC105831141"
"1437","GO:0001522","ISS","LOC105831141"
"1438","GO:0009451","ISS","LOC105831141"
"1439","GO:0007608","ISS","LOC105831128"
"1440","GO:0007608","ISS","LOC105831128"
"1441","GO:0008152","ISS","LOC105831147"
"1442","GO:0006355","ISS","LOC105831151"
"1443","GO:0006468","ISS","LOC105831157"
"1444","GO:0006468","ISS","LOC105831157"
"1445","GO:0006260","ISS","LOC105831160"
"1446","GO:0006811","ISS","LOC105831158"
"1447","GO:0055085","ISS","LOC105831158"
"1448","GO:0006811","ISS","LOC105831158"
"1449","GO:0055085","ISS","LOC105831158"
"1450","GO:0006811","ISS","LOC105831158"
"1451","GO:0055085","ISS","LOC105831158"
"1452","GO:0006811","ISS","LOC105831158"
"1453","GO:0055085","ISS","LOC105831158"
"1454","GO:0009165","ISS","LOC105831168"
"1455","GO:0008272","ISS","LOC105831175"
"1456","GO:0008272","ISS","LOC105831170"
"1457","GO:0006886","ISS","LOC105831182"
"1458","GO:0016192","ISS","LOC105831182"
"1459","GO:0006886","ISS","LOC105831182"
"1460","GO:0016192","ISS","LOC105831182"
"1461","GO:0006886","ISS","LOC105831182"
"1462","GO:0016192","ISS","LOC105831182"
"1463","GO:0003333","ISS","LOC105831187"
"1464","GO:0006810","ISS","LOC105831187"
"1465","GO:0055085","ISS","LOC105831187"
"1466","GO:0006355","ISS","LOC105831190"
"1467","GO:0007608","ISS","LOC105831193"
"1468","GO:0044262","ISS","LOC105831212"
"1469","GO:0007608","ISS","LOC105831211"
"1470","GO:0005975","ISS","LOC105831215"
"1471","GO:0055114","ISS","LOC105831214"
"1472","GO:0055114","ISS","LOC105831214"
"1473","GO:0006508","ISS","LOC105831218"
"1474","GO:0006355","ISS","LOC105831221"
"1475","GO:0005975","ISS","LOC105831235"
"1476","GO:0006749","ISS","LOC105831240"
"1477","GO:0051603","ISS","LOC105831242"
"1478","GO:0006511","ISS","LOC105831242"
"1479","GO:0007608","ISS","LOC105831255"
"1480","GO:0007608","ISS","LOC105831262"
"1481","GO:0007608","ISS","LOC105831261"
"1482","GO:0007608","ISS","LOC105831257"
"1483","GO:0007608","ISS","LOC105831256"
"1484","GO:0055085","ISS","LOC105831269"
"1485","GO:0055085","ISS","LOC105831269"
"1486","GO:0006468","ISS","LOC105831284"
"1487","GO:0006260","ISS","LOC105831281"
"1488","GO:0055114","ISS","LOC105831283"
"1489","GO:0006457","ISS","LOC105831285"
"1490","GO:0006950","ISS","LOC105831285"
"1491","GO:0055114","ISS","LOC105831295"
"1492","GO:0055114","ISS","LOC105831295"
"1493","GO:0006606","ISS","LOC105831303"
"1494","GO:0006298","ISS","LOC105831306"
"1495","GO:0006298","ISS","LOC105831306"
"1496","GO:0006298","ISS","LOC105831306"
"1497","GO:0055085","ISS","LOC105831307"
"1498","GO:0055085","ISS","LOC105831307"
"1499","GO:0055085","ISS","LOC105831309"
"1500","GO:0055085","ISS","LOC105831309"
"1501","GO:0008152","ISS","LOC105831321"
"1502","GO:0055085","ISS","LOC105831334"
"1503","GO:0055085","ISS","LOC105831334"
"1504","GO:0055114","ISS","LOC105831339"
"1505","GO:0055114","ISS","LOC105831338"
"1506","GO:0055114","ISS","LOC105831341"
"1507","GO:0006486","ISS","LOC105831345"
"1508","GO:0015889","ISS","LOC105831350"
"1509","GO:0006508","ISS","LOC105831356"
"1510","GO:0006508","ISS","LOC105831356"
"1511","GO:0006468","ISS","LOC105831356"
"1512","GO:0007169","ISS","LOC105831356"
"1513","GO:0006810","ISS","LOC105831359"
"1514","GO:0006355","ISS","LOC105831360"
"1515","GO:0008152","ISS","LOC105831372"
"1516","GO:0007165","ISS","LOC105831364"
"1517","GO:0006796","ISS","LOC105831368"
"1518","GO:0006260","ISS","LOC105831380"
"1519","GO:0043087","ISS","LOC105831389"
"1520","GO:0007264","ISS","LOC105831389"
"1521","GO:0015936","ISS","LOC105831385"
"1522","GO:0055114","ISS","LOC105831385"
"1523","GO:0006030","ISS","LOC105831408"
"1524","GO:0006030","ISS","LOC105831408"
"1525","GO:0008272","ISS","LOC105831406"
"1526","GO:0008272","ISS","LOC105831412"
"1527","GO:0005975","ISS","LOC105831422"
"1528","GO:0006030","ISS","LOC105831442"
"1529","GO:0008063","ISS","LOC105831445"
"1530","GO:0006468","ISS","LOC105831453"
"1531","GO:0006506","ISS","LOC105831449"
"1532","GO:0007186","ISS","LOC105831461"
"1533","GO:0008152","ISS","LOC105831469"
"1534","GO:0008152","ISS","LOC105831469"
"1535","GO:0005991","ISS","LOC105831468"
"1536","GO:0006355","ISS","LOC105831472"
"1537","GO:0006629","ISS","LOC105831480"
"1538","GO:0055114","ISS","LOC105831486"
"1539","GO:0055114","ISS","LOC105831486"
"1540","GO:0055114","ISS","LOC105831487"
"1541","GO:0055114","ISS","LOC105831487"
"1542","GO:0006030","ISS","LOC105831498"
"1543","GO:0045454","ISS","LOC105831516"
"1544","GO:0006468","ISS","LOC105831508"
"1545","GO:0006289","ISS","LOC105831507"
"1546","GO:0006355","ISS","LOC105831502"
"1547","GO:0006355","ISS","LOC105831502"
"1548","GO:0006486","ISS","LOC105831520"
"1549","GO:0006468","ISS","LOC105831531"
"1550","GO:0006370","ISS","LOC105831530"
"1551","GO:0006397","ISS","LOC105831530"
"1552","GO:0055085","ISS","LOC105831553"
"1553","GO:0055114","ISS","LOC105831551"
"1554","GO:0006886","ISS","LOC105831558"
"1555","GO:0016192","ISS","LOC105831558"
"1556","GO:0006886","ISS","LOC105831558"
"1557","GO:0016192","ISS","LOC105831558"
"1558","GO:0006886","ISS","LOC105831558"
"1559","GO:0016192","ISS","LOC105831558"
"1560","GO:0006886","ISS","LOC105831558"
"1561","GO:0016192","ISS","LOC105831558"
"1562","GO:0006886","ISS","LOC105831558"
"1563","GO:0016192","ISS","LOC105831558"
"1564","GO:0006886","ISS","LOC105831558"
"1565","GO:0016192","ISS","LOC105831558"
"1566","GO:0006886","ISS","LOC105831558"
"1567","GO:0016192","ISS","LOC105831558"
"1568","GO:0006886","ISS","LOC105831558"
"1569","GO:0016192","ISS","LOC105831558"
"1570","GO:0007186","ISS","LOC105831566"
"1571","GO:0008152","ISS","LOC105831592"
"1572","GO:0006303","ISS","LOC105831586"
"1573","GO:0006814","ISS","LOC105831585"
"1574","GO:0006810","ISS","LOC105831595"
"1575","GO:0055114","ISS","LOC105831594"
"1576","GO:0055114","ISS","LOC105831594"
"1577","GO:0008152","ISS","LOC105831601"
"1578","GO:0000042","ISS","LOC105831600"
"1579","GO:0006508","ISS","LOC105831599"
"1580","GO:0007018","ISS","LOC105831597"
"1581","GO:0006457","ISS","LOC105831607"
"1582","GO:0034508","ISS","LOC105831612"
"1583","GO:0006352","ISS","LOC105831611"
"1584","GO:0006352","ISS","LOC105831611"
"1585","GO:0006468","ISS","LOC105831628"
"1586","GO:0051276","ISS","LOC105831636"
"1587","GO:0006351","ISS","LOC105831634"
"1588","GO:0035023","ISS","LOC105831644"
"1589","GO:0006355","ISS","LOC105831652"
"1590","GO:0000226","ISS","LOC105831665"
"1591","GO:0000910","ISS","LOC105831665"
"1592","GO:0006289","ISS","LOC105831668"
"1593","GO:0006284","ISS","LOC105831668"
"1594","GO:0016042","ISS","LOC105831667"
"1595","GO:0006468","ISS","LOC105831673"
"1596","GO:0006457","ISS","LOC105831710"
"1597","GO:0006396","ISS","LOC105831711"
"1598","GO:0006139","ISS","LOC105831690"
"1599","GO:0006810","ISS","LOC105831718"
"1600","GO:0006811","ISS","LOC105831718"
"1601","GO:0006811","ISS","LOC105831718"
"1602","GO:0007264","ISS","LOC105831727"
"1603","GO:0035556","ISS","LOC105831722"
"1604","GO:0005975","ISS","LOC105831723"
"1605","GO:0006486","ISS","LOC105831741"
"1606","GO:0007067","ISS","LOC105831754"
"1607","GO:0055114","ISS","LOC105831745"
"1608","GO:0006508","ISS","LOC105831768"
"1609","GO:0006508","ISS","LOC105831768"
"1610","GO:0006886","ISS","LOC105831776"
"1611","GO:0016192","ISS","LOC105831776"
"1612","GO:0006886","ISS","LOC105831776"
"1613","GO:0016192","ISS","LOC105831776"
"1614","GO:0055114","ISS","LOC105831778"
"1615","GO:0007608","ISS","LOC105831792"
"1616","GO:0006366","ISS","LOC105831803"
"1617","GO:0045454","ISS","LOC105831810"
"1618","GO:0045454","ISS","LOC105831810"
"1619","GO:0006470","ISS","LOC105831818"
"1620","GO:0008152","ISS","LOC105831838"
"1621","GO:0008152","ISS","LOC105831838"
"1622","GO:0008152","ISS","LOC105831844"
"1623","GO:0007608","ISS","LOC105831854"
"1624","GO:0007608","ISS","LOC105831853"
"1625","GO:0005975","ISS","LOC105831859"
"1626","GO:0006810","ISS","LOC105831879"
"1627","GO:0009190","ISS","LOC105831878"
"1628","GO:0035556","ISS","LOC105831878"
"1629","GO:0009190","ISS","LOC105831878"
"1630","GO:0035556","ISS","LOC105831878"
"1631","GO:0006171","ISS","LOC105831878"
"1632","GO:0006468","ISS","LOC105831880"
"1633","GO:0006468","ISS","LOC105831880"
"1634","GO:0006468","ISS","LOC105831880"
"1635","GO:0006260","ISS","LOC105831881"
"1636","GO:0055114","ISS","LOC105831892"
"1637","GO:0055114","ISS","LOC105831892"
"1638","GO:0006556","ISS","LOC105831902"
"1639","GO:0006556","ISS","LOC105831902"
"1640","GO:0006556","ISS","LOC105831902"
"1641","GO:0006914","ISS","LOC105831895"
"1642","GO:0006468","ISS","LOC105831896"
"1643","GO:0055085","ISS","LOC105831897"
"1644","GO:0006886","ISS","LOC105831910"
"1645","GO:0016192","ISS","LOC105831910"
"1646","GO:0006468","ISS","LOC105831917"
"1647","GO:0006468","ISS","LOC105831921"
"1648","GO:0042981","ISS","LOC105831923"
"1649","GO:0006810","ISS","LOC105831946"
"1650","GO:0055085","ISS","LOC105831946"
"1651","GO:0007608","ISS","LOC105831971"
"1652","GO:0007608","ISS","LOC105831973"
"1653","GO:0007608","ISS","LOC105831968"
"1654","GO:0007608","ISS","LOC105831972"
"1655","GO:0007608","ISS","LOC105831969"
"1656","GO:0055114","ISS","LOC105831950"
"1657","GO:0055114","ISS","LOC105831950"
"1658","GO:0035556","ISS","LOC105831951"
"1659","GO:0007186","ISS","LOC105831957"
"1660","GO:0006629","ISS","LOC105831960"
"1661","GO:0006635","ISS","LOC105831966"
"1662","GO:0055114","ISS","LOC105831966"
"1663","GO:0006635","ISS","LOC105831967"
"1664","GO:0055114","ISS","LOC105831967"
"1665","GO:0007186","ISS","LOC105831982"
"1666","GO:0007165","ISS","LOC105831984"
"1667","GO:0009396","ISS","LOC105831994"
"1668","GO:0055085","ISS","LOC105832003"
"1669","GO:0055085","ISS","LOC105832003"
"1670","GO:0006508","ISS","LOC105832008"
"1671","GO:0055085","ISS","LOC105832018"
"1672","GO:0007205","ISS","LOC105832020"
"1673","GO:0007165","ISS","LOC105832020"
"1674","GO:0007165","ISS","LOC105832020"
"1675","GO:0035556","ISS","LOC105832020"
"1676","GO:0006470","ISS","LOC105832029"
"1677","GO:0007608","ISS","LOC105832034"
"1678","GO:0007608","ISS","LOC105832035"
"1679","GO:0007608","ISS","LOC105832037"
"1680","GO:0006811","ISS","LOC105832045"
"1681","GO:0055085","ISS","LOC105832045"
"1682","GO:0006508","ISS","LOC105832049"
"1683","GO:0006355","ISS","LOC105832047"
"1684","GO:0006418","ISS","LOC105832048"
"1685","GO:0006629","ISS","LOC105832066"
"1686","GO:0038032","ISS","LOC105832057"
"1687","GO:0015684","ISS","LOC105832068"
"1688","GO:0019310","ISS","LOC105832069"
"1689","GO:0055114","ISS","LOC105832069"
"1690","GO:0006289","ISS","LOC105832087"
"1691","GO:0007156","ISS","LOC105832086"
"1692","GO:0008152","ISS","LOC105832098"
"1693","GO:0006351","ISS","LOC105832103"
"1694","GO:0006351","ISS","LOC105832103"
"1695","GO:0006351","ISS","LOC105832103"
"1696","GO:0006351","ISS","LOC105832103"
"1697","GO:0006351","ISS","LOC105832103"
"1698","GO:0006351","ISS","LOC105832103"
"1699","GO:0015991","ISS","LOC105832104"
"1700","GO:0015991","ISS","LOC105832104"
"1701","GO:0006511","ISS","LOC105832108"
"1702","GO:0000122","ISS","LOC105832114"
"1703","GO:0051056","ISS","LOC105832116"
"1704","GO:0006355","ISS","LOC105832106"
"1705","GO:0007608","ISS","LOC105832132"
"1706","GO:0007608","ISS","LOC105832131"
"1707","GO:0006265","ISS","LOC105832135"
"1708","GO:0016043","ISS","LOC105832136"
"1709","GO:0030036","ISS","LOC105832136"
"1710","GO:0007165","ISS","LOC105832144"
"1711","GO:0006508","ISS","LOC105832146"
"1712","GO:0006508","ISS","LOC105832146"
"1713","GO:0006468","ISS","LOC105832158"
"1714","GO:0008152","ISS","LOC105832153"
"1715","GO:0008152","ISS","LOC105832152"
"1716","GO:0006468","ISS","LOC105832175"
"1717","GO:0045892","ISS","LOC105832201"
"1718","GO:0055085","ISS","LOC105832205"
"1719","GO:0055085","ISS","LOC105832205"
"1720","GO:0006096","ISS","LOC105832215"
"1721","GO:0008152","ISS","LOC105832226"
"1722","GO:0006352","ISS","LOC105832224"
"1723","GO:0006352","ISS","LOC105832224"
"1724","GO:0008152","ISS","LOC105832228"
"1725","GO:0055114","ISS","LOC105832239"
"1726","GO:0055114","ISS","LOC105832242"
"1727","GO:0055114","ISS","LOC105832241"
"1728","GO:0007264","ISS","LOC105832243"
"1729","GO:0009235","ISS","LOC105832251"
"1730","GO:0033227","ISS","LOC105832249"
"1731","GO:0006633","ISS","LOC105832247"
"1732","GO:0008152","ISS","LOC105832247"
"1733","GO:0007264","ISS","LOC105832260"
"1734","GO:0007264","ISS","LOC105832260"
"1735","GO:0007264","ISS","LOC105832260"
"1736","GO:0007264","ISS","LOC105832260"
"1737","GO:0055085","ISS","LOC105832285"
"1738","GO:0055085","ISS","LOC105832285"
"1739","GO:0006298","ISS","LOC105832265"
"1740","GO:0006284","ISS","LOC105832273"
"1741","GO:0006812","ISS","LOC105832287"
"1742","GO:0006812","ISS","LOC105832287"
"1743","GO:0006812","ISS","LOC105832289"
"1744","GO:0006812","ISS","LOC105832289"
"1745","GO:0008152","ISS","LOC105832288"
"1746","GO:0006355","ISS","LOC105832300"
"1747","GO:0006355","ISS","LOC105832300"
"1748","GO:0006355","ISS","LOC105832300"
"1749","GO:0006355","ISS","LOC105832300"
"1750","GO:0006810","ISS","LOC105832302"
"1751","GO:0055085","ISS","LOC105832306"
"1752","GO:0055085","ISS","LOC105832306"
"1753","GO:0055085","ISS","LOC105832306"
"1754","GO:0007018","ISS","LOC105832319"
"1755","GO:0005975","ISS","LOC105832332"
"1756","GO:0005975","ISS","LOC105832332"
"1757","GO:0006420","ISS","LOC105832335"
"1758","GO:0006351","ISS","LOC105832339"
"1759","GO:0006351","ISS","LOC105832339"
"1760","GO:0006351","ISS","LOC105832339"
"1761","GO:0006351","ISS","LOC105832339"
"1762","GO:0006470","ISS","LOC105832341"
"1763","GO:0007016","ISS","LOC105832342"
"1764","GO:0007016","ISS","LOC105832342"
"1765","GO:0008152","ISS","LOC105832346"
"1766","GO:0055114","ISS","LOC105832346"
"1767","GO:0006355","ISS","LOC105832353"
